titleEnglish;titleRomaji;startDate;endDate;format;genres;popularity;score;image
The Irresponsible Captain Tylor;Musekinin Kanchou Tylor;25/1/1993;19/7/1993;TV;['Adventure', 'Comedy', 'Sci-Fi'];10997;74;images\569.png
Jin-Roh: The Wolf Brigade;JIN-ROH;3/6/2000;3/6/2000;MOVIE;['Action', 'Drama', 'Psychological', 'Romance', 'Thriller'];36376;76;images\570.png
Nausicaä of the Valley of the Wind;Kaze no Tani no Nausicaä;11/3/1984;11/3/1984;MOVIE;['Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi'];72291;81;images\572.png
Saber Marionette J;Saber Marionette J;1/10/1996;25/3/1997;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Mecha'];4920;68;images\573.png
The Wings of Rean;Rean no Tsubasa;16/12/2005;18/8/2006;ONA;['Fantasy', 'Mecha', 'Sci-Fi'];1096;48;images\574.png
Magikano;Magikano;1/1/2006;1/4/2006;TV;['Comedy', 'Fantasy', 'Romance'];4423;57;images\576.png
Key Princess Story Eternal Alice Rondo;Kagihime Monogatari: Eikyuu Alice Rinbukyoku;4/1/2006;29/3/2006;TV;['Action', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Romance'];1493;52;images\577.png
Grave of the Fireflies;Hotaru no Haka;15/4/1988;15/4/1988;MOVIE;['Drama'];132033;82;images\578.png
;Battle Programmer Shirase;4/10/2003;4/1/2004;TV_SHORT;['Comedy', 'Ecchi', 'Sci-Fi'];5860;63;images\579.png
Scorched Bread;Kogepan;5/11/2001;16/11/2001;TV_SHORT;['Comedy'];1149;59;images\580.png
Labyrinth of Flames;Honoo no Labyrinth;25/9/2000;21/12/2000;OVA;['Action', 'Adventure', 'Comedy', 'Ecchi'];2102;58;images\581.png
;Sexy Commando Gaiden: Sugoiyo!! Masaru-san;5/1/1998;31/3/1998;TV_SHORT;['Comedy'];2716;67;images\582.png
Noein: To Your Other Self;Noein: Mou Hitori no Kimi e;12/10/2005;29/3/2006;TV;['Adventure', 'Drama', 'Psychological', 'Sci-Fi', 'Slice of Life'];17756;70;images\584.png
Whisper of the Heart;Mimi wo Sumaseba;15/7/1995;15/7/1995;MOVIE;['Adventure', 'Drama', 'Romance', 'Slice of Life'];73674;81;images\585.png
Ayakashi: Samurai Horror Tales;ayakashi: Japanese Classic Horror;13/1/2006;24/3/2006;TV;['Horror', 'Psychological', 'Supernatural'];12524;68;images\586.png
Looking Up at the Half-Moon;Hanbun no Tsuki ga Noboru Sora;13/1/2006;24/2/2006;TV;['Comedy', 'Drama', 'Romance'];14944;69;images\587.png
Itsudatte My Santa!;Itsudatte My Santa!;7/12/2005;7/12/2005;OVA;['Comedy', 'Ecchi', 'Fantasy', 'Romance'];2693;51;images\588.png
;Ginga: Nagareboshi Gin;7/4/1986;22/8/1986;TV;['Action', 'Adventure', 'Drama'];4714;73;images\589.png
Protect from the Shadows!;Kage kara Mamoru!;8/1/2006;26/3/2006;TV;['Comedy', 'Romance'];3519;60;images\590.png
Ah My Buddha!!;Amaenaide yo!!;1/7/2005;16/9/2005;TV;['Comedy', 'Ecchi', 'Romance', 'Supernatural'];8838;58;images\591.png
;Popolocrois;5/10/2003;28/3/2004;TV;['Adventure', 'Fantasy'];493;55;images\592.png
Infinite Ryvius;Mugen no Ryvius;6/10/1999;29/3/2000;TV;['Drama', 'Mecha', 'Psychological', 'Sci-Fi'];9393;71;images\593.png
Naruto: The Lost Story - Mission: Protect the Waterfall Village;NARUTO: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!;20/12/2003;20/12/2003;SPECIAL;['Action', 'Adventure', 'Comedy'];15414;63;images\594.png
;X OVA;25/8/2001;25/8/2001;OVA;['Drama', 'Fantasy', 'Mystery', 'Romance', 'Supernatural'];2492;61;images\595.png
;Chobits: Chibits - Sumomo, Kotoko Todokeru;27/6/2003;27/6/2003;SPECIAL;['Comedy', 'Ecchi', 'Romance'];5986;65;images\596.png
The Cat Returns;Neko no Ongaeshi;20/7/2002;20/7/2002;MOVIE;['Adventure', 'Comedy', 'Drama', 'Fantasy'];53289;74;images\597.png
Android Kikaider - The Animation;Jinzou Ningen Kikaider: THE ANIMATION;16/10/2000;8/1/2001;TV;['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi'];1918;64;images\598.png
Phantom Quest Corp.;Yuugen Kaisha;25/8/1994;25/2/1995;OVA;['Action', 'Adventure', 'Comedy', 'Supernatural'];1793;59;images\599.png
;Legend of Duo;21/4/2005;27/6/2005;TV_SHORT;['Drama', 'Supernatural'];1487;37;images\600.png
Cat Soup;Nekojiru-sou;21/2/2001;21/2/2001;OVA;['Comedy', 'Horror', 'Psychological'];19462;70;images\601.png
K.O. Beast;KO Seiki Beast Sanjuushi;2/5/1992;21/11/1993;OVA;['Adventure', 'Comedy', 'Fantasy', 'Mecha', 'Supernatural'];979;56;images\602.png
Pretty Cure;Futari wa Precure;1/2/2004;30/1/2005;TV;['Action', 'Adventure', 'Comedy', 'Fantasy', 'Mahou Shoujo'];12866;69;images\603.png
Fancy Lala;Mahou no Stage Fancy Lala;5/4/1998;27/9/1998;TV;['Comedy', 'Drama', 'Mahou Shoujo', 'Music', 'Romance'];2968;66;images\604.png
I'm Gonna Be an Angel!;Tenshi ni Narumon!;7/4/1999;29/9/1999;TV;['Comedy', 'Fantasy', 'Romance'];1720;60;images\605.png
Carried by the Wind: Tsukikage Ran;Kazemakase Tsukikage Ran;26/1/2000;19/4/2000;TV;['Adventure', 'Comedy'];3449;66;images\606.png
Fairy Musketeers;Otogi-juushi Akazukin;1/7/2006;31/3/2007;TV;['Adventure', 'Comedy', 'Fantasy'];1706;60;images\607.png
Sakura Wars: The Movie;Sakura Taisen: Katsudou Shashin;22/12/2001;22/12/2001;MOVIE;['Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi'];1352;59;images\608.png
Saikano: Another Love Song;Saishuu Heiki Kanojo: Another Love Song;5/8/2005;9/9/2005;OVA;['Drama', 'Romance', 'Sci-Fi'];2618;65;images\609.png
Popotan;Popotan;18/3/2003;3/10/2003;TV;['Comedy', 'Drama', 'Ecchi', 'Supernatural'];4451;55;images\610.png
;Platonic Chain;4/10/2002;28/3/2003;TV_SHORT;['Drama', 'Fantasy', 'Romance'];1352;49;images\611.png
;PetoPeto-san;9/7/2005;1/10/2005;TV;['Comedy', 'Fantasy', 'Romance'];1292;57;images\612.png
;Onmyou Tai Senki;30/11/2004;29/11/2005;TV;['Adventure', 'Fantasy', 'Supernatural'];972;59;images\613.png
Madam is a Magical Girl;Okusama wa Mahou Shoujo;4/7/2005;26/9/2005;TV;['Ecchi', 'Mahou Shoujo', 'Romance'];2170;55;images\614.png
Nurse Witch Komugi;Nurse Witch Komugi-chan Magikarte;23/8/2002;2/4/2004;OVA;['Comedy', 'Mahou Shoujo', 'Sci-Fi'];4654;62;images\615.png
;Nurse Angel Ririka SOS;7/7/1995;29/3/1996;TV;['Drama', 'Fantasy', 'Mahou Shoujo'];1433;63;images\616.png
Ninja Scroll;Juubee Ninpuuchou;5/6/1993;5/6/1993;MOVIE;['Action', 'Adventure', 'Fantasy', 'Horror', 'Romance'];23558;72;images\617.png
Ninja Scroll: The Series;Juubee Ninpuuchou: Ryuuhougyoku-hen;15/4/2003;15/7/2003;TV;['Adventure', 'Horror', 'Supernatural'];5744;60;images\618.png
Ninja Ryuukenden;Ninja Ryuukenden;22/11/1991;22/11/1991;OVA;['Adventure', 'Drama', 'Sci-Fi'];999;51;images\619.png
Mermaid Forest (TV);Takahashi Rumiko Gekijou: Ningyo no Mori;5/10/2003;21/12/2003;TV;['Drama', 'Fantasy', 'Horror', 'Mystery'];4533;64;images\620.png
Nightwalker: The Midnight Detective;Night Walker: Mayonaka no Tantei;8/7/1998;23/9/1998;TV;['Action', 'Comedy', 'Horror', 'Mystery'];3118;62;images\621.png
Sandglass of Summer Colors;Natsuiro no Sunadokei;21/5/2004;23/7/2004;OVA;['Comedy', 'Drama', 'Romance', 'Sci-Fi'];1684;57;images\622.png
;Moekan THE ANIMATION;19/12/2003;23/7/2004;OVA;['Comedy', 'Romance'];729;43;images\625.png
Protect Me;Mamotte Shugogetten!;17/10/1998;3/4/1999;TV;['Comedy', 'Mahou Shoujo', 'Romance'];1701;57;images\626.png
;Major S1;13/11/2004;21/5/2005;TV;['Comedy', 'Drama', 'Sports'];17408;79;images\627.png
Magic User's Club!;Mahou Tsukai Tai!;25/5/1996;25/10/1997;OVA;['Comedy', 'Fantasy', 'Romance', 'Sci-Fi'];3080;64;images\629.png
Magic User's Club! (TV);Mahou Tsukai Tai! (TV);7/7/1999;6/10/1999;TV;['Comedy', 'Romance', 'Sci-Fi'];2888;59;images\630.png
Mahoromatic Summer Special;Mahoromatic: Natsu no TV Special;15/8/2003;15/8/2003;SPECIAL;['Comedy', 'Romance', 'Sci-Fi'];1893;65;images\631.png
;Legend of Basara;3/4/1998;26/6/1998;TV;['Adventure', 'Drama', 'Romance', 'Sci-Fi'];2327;64;images\633.png
;Koi Kaze;2/4/2004;18/6/2004;TV;['Drama', 'Psychological', 'Romance', 'Slice of Life'];15881;66;images\634.png
Jubei-chan the Ninja Girl: Secret of the Lovely Eyepatch;Juubei-chan: Lovely Gantai no Himitsu;6/4/1999;29/6/1999;TV;['Action', 'Adventure', 'Comedy', 'Drama'];2968;60;images\635.png
Jubei Chan the Ninja Girl 2: The Counterattack of Siberia Yagyu;Juubei-chan 2: Siberia Yagyuu no Gyakushuu;7/1/2004;31/3/2004;TV;['Adventure', 'Comedy', 'Drama'];1602;62;images\636.png
;Iketeru Futari;2/2/1999;26/2/1999;TV_SHORT;['Comedy', 'Ecchi', 'Romance'];3129;58;images\637.png
Strawberry 100%;Ichigo 100% Special 2;18/12/2005;18/12/2005;SPECIAL;['Comedy', 'Ecchi', 'Romance'];2517;62;images\641.png
Strawberry 100% Special;Ichigo 100% Special: Jump Festa 2004;23/9/2004;23/9/2004;SPECIAL;['Ecchi', 'Romance'];2806;62;images\642.png
